kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
mis.1.sm_61.ptx 75 : 1920 264960 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 202 : 1252 10016 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 106 : 742 5936 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 304 : 429 3432 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 47 : 313 1565 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 174 : 1536 209664 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 76 : 1920 264960 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 203 : 1252 185296 0 0 0 160 40 0 0 
mis.1.sm_61.ptx 107 : 742 112710 0 0 0 120 34 0 0 
mis.1.sm_61.ptx 305 : 429 61520 0 0 0 80 24 0 0 
mis.1.sm_61.ptx 48 : 313 2504 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 175 : 1536 208128 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 77 : 1920 262080 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 204 : 1252 6260 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 108 : 742 112428 0 0 0 141 34 0 0 
mis.1.sm_61.ptx 49 : 313 1565 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 176 : 1536 205824 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 78 : 1920 260160 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 205 : 1252 4615 0 0 0 0 0 0 26 
mis.1.sm_61.ptx 109 : 742 3710 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 50 : 313 626 0 0 0 40 10 0 0 
mis.1.sm_61.ptx 177 : 1536 205824 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 79 : 1920 257280 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 80 : 1920 257280 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 207 : 329 1645 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 149 : 1920 9600 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 150 : 1920 3840 0 0 0 240 60 0 0 
mis.1.sm_61.ptx 151 : 1920 9600 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 110 : 742 3710 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 111 : 742 20 0 0 0 0 0 0 4 
mis.1.sm_61.ptx 113 : 738 5904 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 114 : 738 109133 0 0 0 116 34 0 0 
mis.1.sm_61.ptx 115 : 738 5904 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 116 : 738 5904 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 119 : 7095 710870 0 0 0 6536 422 0 0 
mis.1.sm_61.ptx 120 : 7095 35475 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 247 : 1252 10016 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 121 : 7095 56760 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 248 : 1252 6260 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 122 : 7095 56760 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 249 : 1252 0 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 123 : 7095 308602 0 0 0 2204 422 0 0 
mis.1.sm_61.ptx 124 : 7095 35475 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 125 : 7095 5010 0 0 0 0 0 0 89 
mis.1.sm_61.ptx 252 : 1536 7680 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 127 : 6093 30465 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 128 : 6093 48744 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 129 : 6093 1132497 1280 0 0 3421 345 0 0 
mis.1.sm_61.ptx 132 : 7095 56760 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 133 : 7095 56760 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 134 : 7095 35475 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 135 : 7095 31785 0 0 0 0 0 0 123 
mis.1.sm_61.ptx 138 : 1565 7825 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 139 : 1565 15650 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 140 : 1565 7825 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 141 : 1565 0 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 178 : 1536 202752 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 179 : 1536 200832 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 181 : 1536 7680 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 182 : 1536 7680 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 183 : 1536 7680 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 184 : 1536 7680 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 185 : 1536 15360 0 0 0 0 0 0 0 
mis.1.sm_61.ptx 186 : 1536 7680 0 0 0 0 0 0 0 
